hour,count
0,51
1,55
2,75
3,75
4,66
5,57
6,57
7,60
8,55
9,40
10,55
11,51
12,57
13,53
14,56
15,58
16,55
17,52
18,68
19,62
20,66
21,68
22,63
23,53
