domain,visits
,18
123movies.movie,1
17thnene.co.uk,3
1drv.ms,1
4lbi-my.sharepoint.com,3
500px.com,26
7ssqqh.sentivin.com,1
7swj37.sentivin.com,1
abplus.ir,1
acareewituhi.org,1
access.login.nhs.uk,4
accessable.co.uk,2
accounts.google.com,82
actuaries.org.uk,14
ad.doubleclick.net,2
ads-blocker.app,1
adspage.click,1
adventuregamers.com,1
affiliate.digikala.com,1
aiu.edu,2
akasulbackgro.org,3
alharamlive.com,4
alibaba.ir,6
alikepublicity.com,5
alteryx.com,4
ancientoak.uk,1
angliastudent.com,1
animalfreeresearchuk.org,1
ao.com,1
apapuacauthong.com,14
aparat.com,20
api.taboola.com,1
aplitrak.com,1
app.copypresscms.com,1
app.datacamp.com,4
app.programiz.pro,8
app.testdome.com,2
app.usebraintrust.com,2
appconner.com,1
apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk,57
apps.apple.com,2
apps.eploy.net,2
arabnews.com,1
archingforanop.org,2
artstarsdeeping.com,1
aru.ac.uk,4
arul.ink,1
arxiv.org,2
aspireparkour.com,2
assets.datacamp.com,1
assets.queue-it.net,4
astrazeneca-uat-sandbox.eightfold.ai,1
astrazeneca.eightfold.ai,1
atesupervisof.org,5
ationandasm.org,7
auth.datacamp.com,9
auth.johnlewis.com,13
auth.login.nhs.uk,5
avatars.githubusercontent.com,1
b7rt0j.sentivin.com,1
badriate.com,7
bahesab.ir,1
baladi.perso.math.cnrs.fr,1
ballestremlab.com,1
bbc.com,3
beautiful-flower-shop.top,1
bernoulli.epfl.ch,1
bestwestern.co.uk,2
bhc-cambridge.fertilityconsent.com,17
bing.com,1
birmingham.ac.uk,1
birs.ca,1
bisrchrdr.com,44
blog.snappfood.ir,1
bluediamond.gg,2
bluediamond.webecast.atreemo.uk,1
boardgamegeek.com,1
book-theory-test.service.gov.uk,5
botolphgreen.net,4
bournhall.co.uk,1
boxoffice.concertsbycandlelight.com,1
brightnetwork.co.uk,2
bsotrck.com,3
cam.ac.uk,2
cambridge-news.co.uk,1
campus.datacamp.com,13
canal-u.tv,1
canva.com,2
caravanclub.co.uk,2
cardplayer.com,3
careers.jefferies.com,7
careers.uk.leonardo.com,3
careers.vwfs.co.uk,4
catchafire.org,20
cdata.com,1
ce0669li.webitrent.com,2
ceroc.com,33
cgap9h.tominchies.com,1
chapter25bookclub.com,1
charitychoice.co.uk,2
chat.deepseek.com,8
chat.openai.com,1
chat.whatsapp.com,1
chatgpt.com,67
chaturbate.com,7
cheftayebeh.ir,1
cib.epfl.ch,1
citycollegepeterborough.ac.uk,3
civilbook.blog.ir,4
classcentral.com,1
click.appcast.io,2
clumbicomas.com,2
codebasics.io,3
codechef.com,164
cointelegraph.com,1
community.fabric.microsoft.com,1
compas.org.uk,6
complexityexplorer.org,1
confirm-your-identity.homeoffice.gov.uk,15
connect.appen.com,1
consent.youtube.com,1
cosmopolitan.com,1
count.co,1
coursera.org,27
cresset.co.uk,1
crick.ac.uk,1
crm.umontreal.ca,2
crosskeyshomes.co.uk,6
d.hodes.com,1
d2jodo8ko90s738s4l6g.uxo-adguard.pro,2
d2joibanaffc73ats9fg.kvo-protect.pro,2
d2md8ge071bc73egtkv0.nexaflow.co.in,2
d2md8janaffc73cgr6r0.kvo-protect.pro,2
d2r18jqnaffc73fjgih0.sdn-defender.pro,2
dailymail.co.uk,1
dandelion.events,1
darmankade.com,1
data-to-viz.com,2
dataanalystjobs.co.uk,1
databricks.com,1
datacamp.com,15
dataquest.io,1
dbfiddle.uk,2
dcode.fr,1
decaturian.com,1
deepseek.com,1
derby.ac.uk,1
desktop.telegram.org,1
dev.mysql.com,1
developer.api.nhs.uk,1
digibebin.com,1
dinamici.org,1
discourse.jupyter.org,2
divar.ir,19
diy.com,3
diy.pxf.io,1
docs.google.com,6
docs.scipy.org,1
doctoreto.com,1
dofactory.com,1
drenix50kp.com,2
drive.google.com,6
driverpracticaltest.dvsa.gov.uk,79
dropbox.com,2
dropdeadgems.org,1
dvsaftts.queue-it.net,2
dxu36k.sentivin.com,1
easytypingjob.com,1
ebdance.co.uk,3
edit-pdf.pdffiller.com,1
eesa.blogfa.com,2
efinancialcareers.co.uk,1
email.uber.com,2
emln.500px.com,2
emptycommongarden.blogspot.com,1
en.wikipedia.org,8
engx.theiet.org,1
epicgames.com,4
error502-malware-detected.top,1
esports-news.co.uk,4
ethicaltech.se,3
etoro.com,4
eu-west-1.protection.sophos.com,2
eu.bizterjios.click,1
eu.bpushkilo.click,1
eu.bpushliko.click,2
eu.bpushnova.click,2
eu.bpushraki.click,1
eu.mosesuas.click,2
eventbrite.co.uk,12
eventbrite.com,3
events.linuxfoundation.org,3
events.wixapps.net,2
excel-practice-online.com,1
excelexercises.com,50
fa-errt-saasfaprod1.fa.ocs.oraclecloud.com,7
fa.wikipedia.org,2
facebook.com,706
faradars.org,1
